"Country","Year","Status","Life.expectancy","Adult.Mortality","infant.deaths","Alcohol","percentage.expenditure","Hepatitis.B","Measles","BMI","under.five.deaths","Polio","Total.expenditure","Diphtheria","HIV.AIDS","thinness..1.19.years","thinness.5.9.years","Income.composition.of.resources","Schooling","Population","GDP"
"Cambodia",2015,"Developing",68.7,174,10,1.71,0,89,0,19.6,12,87,5.87,89,0.2,1.9,1.9,0.558,10.9,15417523,1170.742816
"Cambodia",2014,"Developing",68.3,179,11,0.01,12.17952064,88,0,18.9,12,87,5.68,88,0.2,1.9,11,0.553,10.9,15210817,1098.074538
"Cambodia",2013,"Developing",67.8,183,11,0.01,8.758214538,83,0,18.2,13,66,5.93,83,0.2,11,11.1,0.546,10.8,14999683,1015.220881
"Cambodia",2012,"Developing",67.4,186,12,0.01,6.914723983,86,15,17.6,14,84,6.24,86,0.3,11,11.2,0.54,10.7,14786640,950.4825446
"Cambodia",2011,"Developing",67,19,13,2.12,60.18591771,88,722,17,15,87,5.64,88,0.3,11,11.2,0.533,10.7,14573885,880.3103044
"Cambodia",2010,"Developing",66.6,192,14,2.2,56.88416481,89,1156,16.4,16,88,5.95,89,0.5,11,11.3,0.519,10.6,14363532,782.6957387
"Cambodia",2009,"Developing",66.1,195,15,2.13,48.35423978,92,4779,15.9,17,95,6.36,94,0.6,11.1,11.4,0.52,10.5,14155740,734.8151186
"Cambodia",2008,"Developing",65.6,199,16,2.24,53.10009046,91,4211,15.3,18,91,5.55,91,0.7,11.2,11.4,0.511,10.5,13943888,742.3979724
"Cambodia",2007,"Developing",65,24,16,2.08,57.73516711,82,394,14.8,20,82,3.75,82,0.9,11.3,11.5,0.495,10.3,13714791,629.9210767
"Cambodia",2006,"Developing",64.1,216,17,2.03,51.50447119,8,188,14.3,21,8,4.48,8,1.1,11.4,11.6,0.483,10.1,13477779,539.7473654
"Cambodia",2005,"Developing",62.9,234,18,1.99,62.21817261,88,264,13.9,22,82,5.84,82,1.4,11.5,11.6,0.47,10,13246583,475.0693943
"Cambodia",2004,"Developing",61.5,253,19,1.38,8.38611924,88,352,13.5,24,86,6.43,85,1.7,11.6,11.7,0.458,9.7,13016371,410.0861329
"Cambodia",2003,"Developing",63,268,21,1.44,55.59543946,88,653,13.1,26,69,6.74,69,1.9,11.6,11.7,0.445,9.3,12787710,364.2753017
"Cambodia",2002,"Developing",59.3,273,23,1.43,30.91060554,88,1361,12.8,29,54,5.95,54,2.1,11.6,11.8,0.427,8.2,12561779,341.0367658
"Cambodia",2001,"Developing",58.5,273,25,1.71,27.68971051,88,3761,12.4,33,59,5.7,6,2.2,11.6,11.8,0.412,7.6,12338192,322.8998639
"Cambodia",2000,"Developing",57.7,274,27,1.51,0.328418056,88,12237,12.1,36,62,5.87,59,2.1,11.6,11.9,0.401,7.2,12118841,301.5165985
"Cameroon",2015,"Developing",57.3,357,45,4.71,0,84,1809,29,68,83,4.73,84,3.5,5.6,5.5,0.514,10.4,23012646,1399.675336
"Cameroon",2014,"Developing",56.7,366,47,0.01,61.39263642,87,831,28.4,71,86,4.1,87,3.7,5.7,5.7,0.507,10.4,22299585,1631.713986
"Cameroon",2013,"Developing",56.4,364,48,0.01,63.07890158,89,760,27.8,73,88,4.29,89,4,5.8,5.8,0.501,10.4,21632850,1559.13905
"Cameroon",2012,"Developing",55.9,369,50,0.01,68.55839112,85,609,27.2,76,85,4.34,85,4.6,5.9,5.9,0.496,10.4,21032684,1433.723927
"Cameroon",2011,"Developing",55.6,371,51,6.19,83.18071241,82,504,26.6,79,8,3.96,82,4.9,6,6,0.486,10,20448873,1497.926586
"Cameroon",2010,"Developing",55.3,37,53,6.15,100.8987451,84,240,26,82,83,5.28,84,5.5,6.1,6.2,0.48,9.7,19878036,1383.813864
"Cameroon",2009,"Developing",54.8,373,54,5.89,9.042540892,8,251,25.4,85,79,5.7,8,6.3,6.3,6.3,0.473,9.2,19319274,1445.860248
"Cameroon",2008,"Developing",54.2,382,56,5.9,68.7073044,84,495,24.9,87,82,5.18,84,6.7,6.4,6.5,0.466,8.8,18777081,1476.009078
"Cameroon",2007,"Developing",53.6,395,57,5.44,7.562892922,82,100,24.4,89,81,4.76,82,7,6.6,6.6,0.456,8,18251866,1311.002963
"Cameroon",2006,"Developing",53.3,394,58,5.22,0.962497052,81,196,23.8,91,78,4.69,81,7.2,6.7,6.8,0.456,8.2,17751333,1177.968605
"Cameroon",2005,"Developing",52.8,4,58,5.03,73.03276195,79,605,23.3,93,79,4.75,8,7.4,6.9,7,0.456,8.3,17275171,1129.35798
"Cameroon",2004,"Developing",52.1,412,59,4.71,7.177302132,84,358,22.8,94,72,4.73,73,7.5,7,7.1,0.455,8.2,16809407,1119.980861
"Cameroon",2003,"Developing",51.8,412,60,4.64,67.63925302,84,899,22.3,95,72,4.97,73,7.7,7.2,7.3,0.452,8.1,16354326,976.5193032
"Cameroon",2002,"Developing",51.6,47,60,4.58,53.70597428,84,1448,21.8,97,66,4.86,66,7.8,7.4,7.5,0.452,8.4,15914033,780.2705538
"Cameroon",2001,"Developing",51.5,41,61,4.43,41.73629221,84,23934,21.3,99,61,4.7,63,7.9,7.5,7.7,0.437,7.1,15493253,706.9842173
"Cameroon",2000,"Developing",51.4,394,62,3.91,4.720593531,84,14629,2.9,100,57,4.48,62,7.7,7.7,7.8,0.433,6.9,15091594,700.1632362
"Canada",2015,"Developing",82.2,64,2,8.2,0,55,195,67,2,91,9.37,91,0.1,0.6,0.5,0.919,16.3,35702908,43596.13554
"Canada",2014,"Developing",82,65,2,8.1,102.1902168,55,418,66.4,2,91,1.45,91,0.1,0.5,0.5,0.912,15.9,35437435,50955.99832
"Canada",2013,"Developing",81.8,67,2,8.2,9733.228019,55,83,65.8,2,91,1.67,91,0.1,0.5,0.5,0.909,15.9,35082954,52635.17496
"Canada",2012,"Developing",81.6,68,2,8.3,9748.636237,7,10,65.3,2,99,1.78,95,0.1,0.5,0.5,0.907,15.9,34714222,52669.08996
"Canada",2011,"Developing",81.5,68,2,8.2,971.9280384,7,803,64.7,2,87,1.82,87,0.1,0.5,0.5,0.903,15.9,34339328,52223.69611
"Canada",2010,"Developing",81.2,7,2,8.4,8649.674911,56,99,64.1,2,88,11.2,89,0.1,0.5,0.4,0.898,15.9,34004889,47562.08343
"Canada",2009,"Developing",81,72,2,8.4,864.94993,42,14,63.6,2,89,11.17,91,0.1,0.5,0.4,0.898,15.9,33628895,40876.31015
"Canada",2008,"Developing",87,74,2,8.3,8433.936814,28,62,63,2,89,1.3,92,0.1,0.5,0.4,0.897,15.8,33247118,46710.50558
"Canada",2007,"Developing",85,74,2,8.3,7946.743581,14,101,62.5,2,9,9.83,94,0.1,0.5,0.4,0.894,15.8,32889025,44659.89514
"Canada",2006,"Developing",85,75,2,8.2,771.1817686,14,13,61.9,2,95,9.75,95,0.1,0.5,0.4,0.891,15.8,32571174,40504.06073
"Canada",2005,"Developing",81,76,2,8,6333.177967,14,6,61.3,2,93,9.57,93,0.1,0.5,0.4,0.886,15.8,32243753,36382.50792
"Canada",2004,"Developing",80,77,2,7.8,5513.329924,14,7,6.6,2,91,9.56,91,0.1,0.5,0.4,0.881,15.8,31940655,32143.68141
"Canada",2003,"Developing",79.7,78,2,7.7,4687.845565,14,15,6,2,88,9.54,91,0.1,0.5,0.4,0.877,15.8,31644028,28300.4631
"Canada",2002,"Developing",79.5,79,2,7.7,3895.856308,14,6,59.3,2,88,9.37,88,0.1,0.5,0.4,0.872,15.8,31360079,24255.33858
"Canada",2001,"Developing",79.4,8,2,7.6,3665.089703,14,34,58.5,2,88,9.1,89,0.1,0.5,0.4,0.867,15.8,31020902,23821.44559
"Canada",2000,"Developing",79.1,82,2,7.6,3787.49456,14,206,57.8,2,88,8.67,89,0.1,0.5,0.5,0.864,15.9,30685730,24271.00206
"Central African Republic",2015,"Developing",52.5,397,15,1.5,0,47,150,22.7,21,47,4.1,47,4.4,8.2,8.2,0.347,7.1,4819333,351.8797548
"Central African Republic",2014,"Developing",58,437,15,0.01,53.43964323,47,210,22.1,22,47,4.2,47,4.5,8.4,8.3,0.345,7.1,4798734,394.8569331
"Central African Republic",2013,"Developing",49.9,451,16,0.01,52.37766601,23,596,21.6,23,23,3.82,23,5.1,8.5,8.5,0.37,7.1,4802428,352.226855
"Central African Republic",2012,"Developing",53,439,16,0.01,7.344808214,47,141,21.2,23,47,3.62,47,5.1,8.7,8.6,0.366,7.1,4773306,525.8675036
"Central African Republic",2011,"Developing",49.8,443,16,1.66,58.52947463,47,679,2.7,24,47,3.73,47,5.8,8.8,8.8,0.361,6.8,4732022,515.2095038
"Central African Republic",2010,"Developing",49.2,446,17,1.67,43.48359197,45,2,2.2,24,46,3.9,45,6.6,9,8.9,0.352,6.6,4660067,459.7769816
"Central African Republic",2009,"Developing",48.6,453,17,1.56,40.45156933,42,11,19.8,25,45,3.58,42,7.3,9.1,9.1,0.345,6.4,4564540,452.9222361
"Central African Republic",2008,"Developing",47.6,477,17,1.52,67.34137528,47,12,19.4,25,46,4.3,45,8.3,9.3,9.2,0.338,6.3,4467233,446.2287699
"Central African Republic",2007,"Developing",46.8,495,17,1.5,60.04884821,47,49,19,26,46,4.4,48,9,9.4,9.4,0.33,6.2,4375569,388.4777713
"Central African Republic",2006,"Developing",46.3,56,17,1.54,46.90117916,47,3,18.6,26,47,3.99,51,10,9.6,9.6,0.323,6,4294352,340.4145172
"Central African Republic",2005,"Developing",45.9,511,17,1.5,40.92207976,47,471,18.2,26,47,4.29,54,11.2,9.7,9.7,0.319,5.9,4208834,317.8776781
"Central African Republic",2004,"Developing",45.7,512,17,1.5,41.50111735,47,1233,17.9,26,45,4.1,51,12,9.9,9.9,0.315,5.7,4115138,309.1902426
"Central African Republic",2003,"Developing",45.7,51,17,1.49,46.11619441,47,652,17.5,26,44,4.31,47,12.8,1,1.1,0.316,5.6,4026841,283.675348
"Central African Republic",2002,"Developing",45.6,58,17,1.47,31.5941587,47,938,17.2,25,42,4.16,44,13.4,1.2,1.2,0.315,5.4,3930648,253.4106706
"Central African Republic",2001,"Developing",45.6,54,17,1.52,33.65315697,47,2837,16.8,25,4,3.95,4,13.9,1.4,1.4,0.314,5.3,3844773,242.5757267
"Central African Republic",2000,"Developing",46,49,16,1.51,30.78382657,47,3207,16.5,25,38,4.24,37,14.3,1.5,1.5,0.312,5.2,3759170,243.8775801
"Chad",2015,"Developing",53.1,356,46,0.42,0,46,418,19.1,77,52,3.42,46,2.8,8.5,8.4,0.394,7.3,14140274,774.4116031
"Chad",2014,"Developing",52.6,362,46,0.01,11.3020668,37,1275,18.7,78,44,3.62,37,2.9,8.7,8.5,0.39,7.3,13697126,1017.787762
"Chad",2013,"Developing",52.2,366,46,0.64,76.52382535,39,226,18.2,78,46,3.42,39,3.1,8.8,8.7,0.387,7.3,13216766,980.0835447
"Chad",2012,"Developing",51.8,367,46,0.62,57.8242709,4,120,17.9,79,51,3,4,3.6,9,8.9,0.381,7.3,12754906,969.6161419
"Chad",2011,"Developing",51.6,365,46,0.56,67.76269089,33,8650,17.5,79,4,3.17,33,3.9,9.2,9.1,0.37,6.7,12317730,988.1941606
"Chad",2010,"Developing",51.2,364,46,0.5,43.57328908,39,194,17.1,80,43,2.95,39,4.1,9.4,9.3,0.36,6.7,11894727,896.8767042
"Chad",2009,"Developing",57,37,46,0.47,4.982900401,24,165,16.7,80,32,3.31,24,4.4,9.6,9.5,0.343,6.3,11496128,808.1615229
"Chad",2008,"Developing",49.6,394,46,0.45,49.09198224,17,63,16.4,80,3,2.92,19,4.7,9.8,9.7,0.338,6,11098664,936.4941362
"Chad",2007,"Developing",49.4,394,46,0.42,5.962923532,35,441,16.1,80,38,3.35,28,4.9,1,1,0.306,5.7,10722731,806.710318
"Chad",2006,"Developing",48.5,414,45,0.41,62.67225971,35,1594,15.7,80,49,3.32,4,5.1,1.3,1.2,0.303,5.5,10365614,716.6677686
"Chad",2005,"Developing",48.6,46,45,0.42,8.936064632,35,2,15.4,79,37,3.91,25,5.2,1.5,1.4,0.306,5.6,10005012,664.5976565
"Chad",2004,"Developing",48.5,45,44,0.34,72.38451279,35,10324,15.1,78,31,5.72,21,5.2,1.7,1.6,0.301,5.6,9613503,460.0670181
"Chad",2003,"Developing",48.4,43,44,0.42,3.979243535,35,15801,14.8,77,36,5.49,23,5.1,1.9,1.8,0.284,5.4,9196366,298.2498816
"Chad",2002,"Developing",48.1,43,43,0.36,3.039691193,35,7277,14.4,76,31,8.33,25,5,11.1,11,0.303,5.1,8838369,225.9473111
"Chad",2001,"Developing",48,4,42,0.3,26.87439074,35,24908,14.1,75,26,6.9,26,4.8,11.3,11.2,0.3,4.9,8538804,200.361008
"Chad",2000,"Developing",47.6,44,41,0.25,21.52701616,35,3546,13.9,74,3,6.28,36,4.6,11.5,11.4,0,4.7,8259137,168.1176582
"Chile",2015,"Developing",85,82,2,7.2,0,97,9,63.8,2,96,6.93,96,0.1,0.8,0.8,0.845,16.3,17870124,13569.94813
"Chile",2014,"Developing",83,83,2,7.16,2352.999591,95,0,63.1,2,95,7.79,95,0.1,0.8,0.8,0.841,16.2,17687108,14666.34312
"Chile",2013,"Developing",81,84,2,7.2,2442.222054,9,0,62.5,2,9,7.53,91,0.1,0.8,0.8,0.831,15.6,17509925,15833.27592
"Chile",2012,"Developing",79.9,84,2,6.76,2260.777642,9,0,61.8,2,9,7.24,9,0.1,0.8,0.8,0.826,15.5,17341771,15406.49284
"Chile",2011,"Developing",79.8,86,2,7.26,211.614293,94,6,61.2,2,93,7,94,0.1,0.8,0.8,0.82,15.4,17173573,14628.57246
"Chile",2010,"Developing",79.1,89,2,7.93,177.4925143,92,0,6.6,2,92,6.97,92,0.1,0.8,0.9,0.815,15.2,17004162,12767.78204
"Chile",2009,"Developing",79.3,91,2,7.67,181.525923,94,1,59.9,2,94,7.39,94,0.1,0.8,0.9,0.816,15.3,16833447,10182.86056
"Chile",2008,"Developing",79.6,88,2,7.31,241.5533381,95,0,59.3,2,95,6.87,95,0.1,0.9,0.9,0.804,15.2,16661462,10783.17082
"Chile",2007,"Developing",78.9,9,2,7.39,209.4875875,92,0,58.7,2,95,6.35,96,0.1,0.9,0.9,0.797,14.8,16495538,10461.36609
"Chile",2006,"Developing",78.9,91,2,7.33,1275.689625,95,0,58.1,2,94,6.18,94,0.1,0.9,0.9,0.796,14.9,16334575,9418.062718
"Chile",2005,"Developing",78.4,93,2,7.57,954.9644887,94,0,57.4,2,92,6.69,91,0.1,0.9,1,0.79,14.6,16175311,7561.830548
"Chile",2004,"Developing",78,97,2,6.32,78.78564878,94,0,56.8,2,94,6.93,93,0.1,0.9,1,0.781,14.3,16017966,6185.514792
"Chile",2003,"Developing",77.9,1,2,6.37,584.0993429,94,1,56.1,2,96,7.34,96,0.1,1,1,0.775,14,15859112,4824.220541
"Chile",2002,"Developing",77.8,11,2,6.06,675.7808443,94,0,55.4,3,97,6.48,97,0.1,1,1,0.768,13.9,15693790,4479.175044
"Chile",2001,"Developing",77.3,16,2,6.1,687.5116825,94,0,54.7,3,96,6.51,97,0.1,1,1,0.761,13.7,15523978,4606.890564
"Chile",2000,"Developing",77.3,13,2,6.24,74.14842946,94,0,54,3,91,6.4,91,0.1,1.1,1.1,0.755,13.5,15351799,5097.114937
"China",2015,"Developing",76.1,85,157,3.88,0,99,42361,32.9,183,99,4.79,99,0.1,3.6,2.9,0.734,13.5,1379860000,8016.446016
"China",2014,"Developing",75.8,86,171,5.78,109.8743903,99,52628,31.9,198,99,5.55,99,0.1,3.7,3,0.723,13.1,1371860000,7636.074223
"China",2013,"Developing",75.6,88,185,5.79,9.955532032,99,26883,3.9,216,99,5.39,99,0.1,3.8,3.2,0.713,12.7,1363240000,7020.385682
"China",2012,"Developing",75.4,89,201,5.74,94.4344566,99,6183,3,233,99,5.26,99,0.1,3.9,3.3,0.703,12.4,1354190000,6300.582352
"China",2011,"Developing",75.2,91,215,5.63,91.26749779,99,9943,29,251,99,5.3,99,0.1,4.1,3.5,0.7,12.8,1345035000,5614.385739
"China",2010,"Developing",75,92,231,5.75,5.660754839,99,38159,28.1,268,99,4.89,99,0.1,4.2,3.6,0.691,12.5,1337705000,4550.473924
"China",2009,"Developing",74.9,93,248,4.88,50.28348923,99,52461,27.3,288,99,5.8,99,0.1,4.4,3.8,0.682,12.2,1331260000,3832.227428
"China",2008,"Developing",74.5,97,266,4.27,39.22509728,95,131441,26.5,308,99,4.59,97,0.1,4.5,4,0.672,11.9,1324655000,3468.327063
"China",2007,"Developing",74.4,96,285,3.88,312.6624819,92,109023,25.7,332,94,4.32,93,0.1,4.7,4.1,0.659,11.4,1317885000,2693.958555
"China",2006,"Developing",74.2,98,307,3.28,29.74342979,91,99602,24.9,360,94,4.52,93,0.1,4.8,4.3,0.646,11,1311020000,2099.219342
"China",2005,"Developing",73.9,99,332,2.92,171.6596026,84,124219,24.1,392,87,4.66,87,0.1,5,4.4,0.634,10.6,1303720000,1753.414263
"China",2004,"Developing",73.5,11,360,3.04,1.58668462,79,70549,23.4,427,87,4.72,87,0.1,5.1,4.6,0.622,10.2,1296075000,1508.667946
"China",2003,"Developing",73.1,13,391,2.96,122.9365349,75,71879,22.6,467,87,4.82,86,0.1,5.3,4.7,0.61,9.9,1288400000,1288.637543
"China",2002,"Developing",72.7,16,422,2.91,106.3590358,7,58341,21.9,511,86,4.79,86,0.1,5.5,4.9,0.6,9.7,1280400000,1148.514188
"China",2001,"Developing",72.2,11,457,2.84,14.23064496,65,88962,21.2,558,86,4.56,86,0.1,5.7,5,0.592,9.6,1271850000,1053.112272
"China",2000,"Developing",71.7,115,490,3.06,17.46057369,6,71093,2.5,608,86,4.6,85,0.1,5.9,5.1,0.583,9.5,1262645000,959.3604121
"Colombia",2015,"Developing",74.8,143,10,4.41,0,91,1,57.9,12,91,6.25,91,0.1,2.1,1.9,0.724,13.6,47119728,6228.651622
"Colombia",2014,"Developing",74.6,144,11,4.38,1435.487755,9,0,57.2,12,9,7.2,9,0.1,2.1,1.9,0.72,13.6,46677947,8167.472842
"Colombia",2013,"Developing",74.4,145,11,4.41,15.16255482,91,1,56.4,13,91,6.84,91,0.1,2.1,1.9,0.712,13.3,46237930,8263.641929
"Colombia",2012,"Developing",74.3,143,11,4.44,1487.896562,92,1,55.7,13,91,6.93,91,0.1,2.1,1.9,0.707,13.2,45782417,8096.80151
"Colombia",2011,"Developing",74.2,144,12,4.37,184.3073618,85,6,55,14,85,6.64,85,0.1,2.2,2,0.7,13,45308899,7392.9436
"Colombia",2010,"Developing",73.6,15,12,4.28,113.2436346,88,0,54.2,15,88,6.76,88,0.1,2.2,2,0.695,12.8,44816108,6392.758026
"Colombia",2009,"Developing",73.6,15,13,4.34,941.6464045,92,0,53.5,15,92,7.1,92,0.1,2.2,2,0.691,12.4,44313917,5245.951665
"Colombia",2008,"Developing",73.5,146,14,4.45,978.07041,92,0,52.8,16,92,6.62,92,0.1,2.3,2,0.683,12.2,43815313,5534.689447
"Colombia",2007,"Developing",73.5,144,14,4.66,780.5946749,93,0,52,17,93,6.25,93,0.1,2.3,2.1,0.675,11.9,43306582,4762.082973
"Colombia",2006,"Developing",73.1,147,15,4.53,62.43710774,93,0,51.3,17,94,6.11,93,0.1,2.3,2.1,0.669,11.5,42772910,3782.603504
"Colombia",2005,"Developing",73.1,144,15,4.38,531.9808176,93,0,5.5,18,93,5.82,93,0.1,2.4,2.1,0.658,11.1,42220940,3448.538274
"Colombia",2004,"Developing",72.8,148,16,4.26,42.17956418,89,0,49.8,19,89,5.37,89,0.1,2.4,2.2,0.658,11.3,41648268,2811.45945
"Colombia",2003,"Developing",72.4,15,16,4.25,417.8038898,92,0,49,19,92,5.92,92,0.1,2.5,2.2,0.659,11.6,41057687,2305.170507
"Colombia",2002,"Developing",71.8,163,17,4.45,393.8773633,78,139,48.2,20,83,5.67,81,0.1,2.5,2.3,0.656,11.5,40454050,2421.162103
"Colombia",2001,"Developing",71.5,165,17,4.43,404.4205858,8,3,47.5,21,83,5.96,8,0.1,2.5,2.3,0.653,11.4,39837875,2465.007011
"Colombia",2000,"Developing",71.4,167,18,4.66,477.1341814,78,1,46.7,21,82,5.91,79,0.1,2.6,2.3,0.65,11.3,39215135,2546.850213
"Comoros",2015,"Developing",63.5,227,1,0.12,0,91,0,24.2,2,92,4.57,91,0.8,6.7,6.5,0.498,11.1,730216,1322.936775
"Comoros",2014,"Developing",63.2,23,1,0.01,73.86584922,88,0,23.7,2,87,6.75,87,0.8,6.8,6.6,0.497,11.1,714612,1608.687875
"Comoros",2013,"Developing",62.9,233,1,0.01,61.57443584,88,0,23.2,2,85,6.51,87,0.8,6.8,6.6,0.49,10.9,699393,1595.989819
"Comoros",2012,"Developing",62.5,237,2,0.01,78.39008571,89,1,22.6,2,85,7.11,86,0.8,6.9,6.7,0.484,10.8,684553,1483.951559
"Comoros",2011,"Developing",62.2,241,2,0.12,59.6596497,83,3,22.1,2,85,6.1,83,0.2,7,6.8,0.479,10.6,670071,1526.832638
"Comoros",2010,"Developing",61.8,246,2,0.15,47.30421873,74,0,21.6,2,82,5.82,74,0.1,7.1,6.9,0.476,10.5,656024,1384.063284
"Comoros",2009,"Developing",61.3,251,2,0.17,56.98952474,83,1,21.1,2,84,3.82,83,0.1,7.2,7,0.465,10.3,642493,1409.106673
"Comoros",2008,"Developing",61,255,2,0.12,93.36788979,81,0,2.6,2,81,5.13,81,0.1,7.2,7.1,0.461,10.2,629470,1454.650909
"Comoros",2007,"Developing",66,259,2,0.16,9.087638194,75,0,2.1,2,75,4.93,75,0.1,7.3,7.2,0.459,10,616899,1289.79485
"Comoros",2006,"Developing",63,262,2,0.25,77.0283958,69,85,19.6,2,69,4.57,69,0.1,7.4,7.3,0.451,9.9,604658,1155.085676
"Comoros",2005,"Developing",60,266,2,0.24,69.9675435,68,912,19.2,2,67,4.32,68,0.1,7.5,7.4,0.434,9.7,592683,1103.195417
"Comoros",2004,"Developing",59.8,269,2,0.27,7.212110766,77,0,18.8,2,73,3.96,76,0.1,7.5,7.5,0,9.5,581154,1090.427168
"Comoros",2003,"Developing",59.6,271,2,0.26,45.09010835,28,0,18.4,2,8,3.65,8,0.1,7.6,7.6,0,9.2,570130,959.2289884
"Comoros",2002,"Developing",59.5,271,2,0.08,29.41897495,81,0,18,2,98,3.39,89,0.1,7.7,7.7,0,8.8,559047,761.9478884
"Comoros",2001,"Developing",59.5,272,1,0.08,19.71741043,81,0,17.6,2,7,2.86,7,0.1,7.8,7.8,0,8.5,547741,691.0419781
"Comoros",2000,"Developing",59.5,272,1,0.09,35.02948624,81,0,17.3,2,7,3.56,7,0.1,7.9,7.9,0,8.2,536758,654.180431
"Congo",2015,"Developing",64.7,267,7,2.45,0,8,1359,27.4,10,8,2.54,8,2.8,7.5,7.1,0.59,11.1,78656904,2347.818507
"Congo",2014,"Developing",64.2,275,7,0.01,0,9,71,26.8,10,9,5.15,9,3,7.6,7.3,0.581,11.1,76035588,3622.530074
"Congo",2013,"Developing",63.9,274,7,0.01,0,85,124,26.2,10,85,5.9,85,3,7.7,7.4,0.576,11.1,73460021,3719.651037
"Congo",2012,"Developing",63.7,273,7,0.01,0,62,260,25.6,10,61,3.98,85,3.3,7.9,7.5,0.557,10.2,70997870,3753.860925
"Congo",2011,"Developing",62.9,285,7,3.82,0,7,315,25,10,69,2.79,82,3.5,8,7.6,0.558,10.7,68654269,3415.062376
"Congo",2010,"Developing",62,298,7,3.53,0,74,4,24.5,10,72,2.29,74,3.8,8.1,7.7,0.548,10.5,66391257,2962.76248
"Congo",2009,"Developing",68,314,7,3.47,0,75,1,23.9,11,76,2.27,78,4,8.3,7.9,0.545,10.3,64270232,2283.949871
"Congo",2008,"Developing",59.4,338,8,2.58,0,73,2,23.3,11,77,2.9,79,4.3,8.4,8,0.527,10,62249724,2848.65316
"Congo",2007,"Developing",58.2,354,8,2.75,0,64,84,22.8,11,71,2.54,72,5,8.5,8.2,0.517,9.8,60289422,2219.912305
"Congo",2006,"Developing",56.9,368,8,2.25,0,64,126,22.3,12,73,2.37,73,5.5,8.7,8.3,0.507,9.6,58381630,2116.868944
"Congo",2005,"Developing",55.3,394,8,2.03,0,64,146,21.7,13,62,2.42,62,5.9,8.8,8.5,0.496,9.4,56550247,1810.588944
"Congo",2004,"Developing",54.1,48,9,2.58,0,64,3524,21.2,13,67,2.56,67,6.3,9,8.6,0.497,9.2,54815607,1314.41128
"Congo",2003,"Developing",53.2,417,9,2.45,0,64,3712,2.7,14,5,2.61,5,6.8,9.1,8.8,0.492,9.4,53205639,1023.088496
"Congo",2002,"Developing",52.6,424,9,2.55,0,64,2788,2.3,14,41,2.45,41,7.2,9.3,8.9,0.488,9.5,51662071,910.8697114
"Congo",2001,"Developing",52.7,419,9,2.3,0,64,2152,19.8,14,32,2.44,31,7.6,9.4,9,0.487,9.7,50106657,859.4400122
"Congo",2000,"Developing",52.9,416,9,2.26,0,64,1678,19.3,14,31,2.13,33,7.8,9.5,9.2,0.487,9.8,48616317,1029.960689
"Costa Rica",2015,"Developing",79.6,95,1,4.09,0,92,0,6.5,1,92,8.45,92,0.1,1.7,1.7,0.775,14.2,4895242,11529.95517
"Costa Rica",2014,"Developing",79.5,96,1,3.45,384.5129138,91,1,59.5,1,91,9.31,91,0.1,1.7,1.7,0.768,13.9,4844288,10737.67888
"Costa Rica",2013,"Developing",79.4,96,1,3.42,386.1379123,94,0,58.5,1,95,9.47,95,0.1,1.7,1.7,0.762,13.7,4791535,10633.26656
"Costa Rica",2012,"Developing",79.2,97,1,3.34,2568.237059,91,0,57.5,1,9,9.56,91,0.1,1.8,1.7,0.758,13.6,4736593,9971.651656
"Costa Rica",2011,"Developing",79,98,1,3.41,2429.854745,84,0,56.5,1,82,9.73,85,0.1,1.8,1.7,0.752,13.4,4679926,9137.455102
"Costa Rica",2010,"Developing",78.1,16,1,3.58,2377.010299,89,0,55.5,1,93,9.66,88,0.1,1.8,1.8,0.749,13.3,4622252,8147.243985
"Costa Rica",2009,"Developing",79.2,96,1,4.07,24.88720369,87,0,54.4,1,8,9.69,86,0.1,1.9,1.8,0.747,13.1,4563127,6737.860754
"Costa Rica",2008,"Developing",78.9,99,1,4.22,1859.095621,89,0,53.4,1,89,9.1,9,0.1,1.9,1.8,0.74,12.9,4501921,6841.91146
"Costa Rica",2007,"Developing",78.9,93,1,4.2,150.8891479,89,0,52.4,1,89,8.37,89,0.1,1.9,1.9,0.734,12.8,4440019,6055.086779
"Costa Rica",2006,"Developing",78,16,1,4.15,1185.412346,88,0,51.4,1,89,7.82,89,0.1,2,1.9,0.727,12.6,4378172,5188.361792
"Costa Rica",2005,"Developing",78.6,97,1,4.1,1002.833273,9,1,5.3,1,91,7.74,91,0.1,2,2,0.723,12.4,4315887,4643.45857
"Costa Rica",2004,"Developing",77.7,12,1,4.09,1043.10795,89,0,49.3,1,9,7.8,9,0.1,2.1,2,0.719,12.2,4252800,4376.080428
"Costa Rica",2003,"Developing",78,1,1,4.04,1070.268999,86,1,48.3,1,88,8.45,88,0.1,2.2,2.1,0.715,12.1,4188610,4123.506487
"Costa Rica",2002,"Developing",78.3,99,1,4.17,112.9493745,94,0,47.3,1,94,8.23,94,0.1,2.2,2.2,0.712,11.9,4122623,4021.425361
"Costa Rica",2001,"Developing",77.5,1,1,4.29,868.3713593,8,0,46.4,1,92,7.25,91,0.1,2.3,2.2,0.708,11.7,4053222,3941.598643
"Costa Rica",2000,"Developing",77.6,98,1,4.34,94.17819458,89,0,45.4,1,8,7.12,88,0.1,2.4,2.3,0.702,11.6,3979193,3773.033793
"Croatia",2015,"Developed",78,95,0,12.21,0,94,206,63.7,0,94,7.66,94,0.1,1.5,1.4,0.823,15.3,4203604,12071.09096
